variant,genre_id,genre_name,precision,recall,f1,support
first_25,27,Horror,0.4778761061946903,0.313953488372093,0.37894736842105264,172
first_25,28,Action,0.5485074626865671,0.5345454545454545,0.5414364640883977,275
first_25,35,Comedy,0.483695652173913,0.8146453089244852,0.6069906223358909,437
first_25,36,History,0.2962962962962963,0.41379310344827586,0.34532374100719426,58
first_25,37,Western,1.0,0.10526315789473684,0.19047619047619047,19
first_25,53,Thriller,0.5151515151515151,0.5198776758409785,0.517503805175038,327
first_25,80,Crime,0.44785276073619634,0.3882978723404255,0.41595441595441596,188
first_25,878,Science Fiction,0.6101694915254238,0.4897959183673469,0.5433962264150943,147
first_25,9648,Mystery,0.3064516129032258,0.16521739130434782,0.21468926553672316,115
first_25,10402,Music,0.3333333333333333,0.3333333333333333,0.3333333333333333,36
first_25,10749,Romance,0.384,0.463768115942029,0.4201312910284464,207
first_25,10751,Family,0.49206349206349204,0.45255474452554745,0.4714828897338403,137
first_25,10752,War,0.5319148936170213,0.5813953488372093,0.5555555555555556,43
first_25,10770,TV Movie,0.0,0.0,0.0,14
first_50,12,Adventure,0.5612244897959183,0.5583756345177665,0.5597964376590331,197
first_50,14,Fantasy,0.5,0.4492753623188406,0.4732824427480916,138
first_50,16,Animation,0.4745762711864407,0.49557522123893805,0.48484848484848486,113
first_50,18,Drama,0.5204498977505112,0.9443413729128015,0.6710613052076466,539
first_50,27,Horror,0.58,0.5058139534883721,0.5403726708074534,172
first_50,28,Action,0.572289156626506,0.6909090909090909,0.6260296540362438,275
first_50,35,Comedy,0.4993197278911565,0.8398169336384439,0.6262798634812287,437
first_50,36,History,0.4489795918367347,0.3793103448275862,0.411214953271028,58
first_50,37,Western,0.8333333333333334,0.2631578947368421,0.4,19
first_50,53,Thriller,0.5340050377833753,0.6483180428134556,0.585635359116022,327
first_50,80,Crime,0.4880382775119617,0.5425531914893617,0.5138539042821159,188
first_50,878,Science Fiction,0.65625,0.5714285714285714,0.610909090909091,147
first_50,9648,Mystery,0.32098765432098764,0.22608695652173913,0.2653061224489796,115
first_50,10402,Music,0.5,0.4166666666666667,0.45454545454545453,36
first_50,10749,Romance,0.4559386973180077,0.5748792270531401,0.5085470085470085,207
first_50,10751,Family,0.5703703703703704,0.5620437956204379,0.5661764705882353,137
first_50,10752,War,0.5348837209302325,0.5348837209302325,0.5348837209302325,43
first_50,10770,TV Movie,0.0,0.0,0.0,14
first_75,12,Adventure,0.543859649122807,0.6294416243654822,0.5835294117647059,197
first_75,14,Fantasy,0.5037593984962406,0.4855072463768116,0.4944649446494465,138
first_75,16,Animation,0.48507462686567165,0.5752212389380531,0.5263157894736842,113
first_75,18,Drama,0.5378061767838126,0.9369202226345084,0.6833558863328822,539
first_75,27,Horror,0.5483870967741935,0.5930232558139535,0.5698324022346368,172
first_75,28,Action,0.5774278215223098,0.8,0.6707317073170732,275
first_75,35,Comedy,0.5228215767634855,0.8649885583524027,0.6517241379310345,437
first_75,36,History,0.5116279069767442,0.3793103448275862,0.43564356435643564,58
first_75,37,Western,0.8,0.21052631578947367,0.3333333333333333,19
first_75,53,Thriller,0.5042918454935622,0.7186544342507645,0.592686002522068,327
first_75,80,Crime,0.5020080321285141,0.6648936170212766,0.5720823798627003,188
first_75,878,Science Fiction,0.6644295302013423,0.673469387755102,0.668918918918919,147
first_75,9648,Mystery,0.33,0.28695652173913044,0.30697674418604654,115
first_75,10402,Music,0.5666666666666667,0.4722222222222222,0.5151515151515151,36
first_75,10749,Romance,0.48175182481751827,0.6376811594202898,0.5488565488565489,207
first_75,10751,Family,0.581081081081081,0.6277372262773723,0.6035087719298246,137
first_75,10752,War,0.5813953488372093,0.5813953488372093,0.5813953488372093,43
first_75,10770,TV Movie,0.0,0.0,0.0,14
